,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
0,"{'lon': -82.53, 'lat': 33.19}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 292.07, 'feels_like': 289.99, 'temp_min': 290.93, 'temp_max': 293.15, 'pressure': 1017, 'humidity': 52}",10000,"{'speed': 2.6, 'deg': 180}",{'all': 1},1607812214,"{'type': 1, 'id': 2827, 'country': 'US', 'sunrise': 1607775877, 'sunset': 1607811828}",-18000,4231997,Avera,200,,
1,"{'lon': -114.35, 'lat': 62.46}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': 246.38, 'feels_like': 239.33, 'temp_min': 246.15, 'temp_max': 246.48, 'pressure': 1032, 'humidity': 75}",10000,"{'speed': 4.6, 'deg': 290}",{'all': 20},1607812214,"{'type': 1, 'id': 1007, 'country': 'CA', 'sunrise': 1607792308, 'sunset': 1607810676}",-25200,6185377,Yellowknife,200,,
2,"{'lon': -73.97, 'lat': 42.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 277.38, 'feels_like': 274.54, 'temp_min': 277.04, 'temp_max': 278.15, 'pressure': 1011, 'humidity': 80}",10000,"{'speed': 1.46, 'deg': 169}",{'all': 100},1607812214,"{'type': 3, 'id': 19530, 'country': 'US', 'sunrise': 1607775428, 'sunset': 1607808167}",-18000,5106841,Albany,200,,
3,"{'lon': -79.24, 'lat': 42.1}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 283.41, 'feels_like': 279.52, 'temp_min': 282.59, 'temp_max': 284.26, 'pressure': 1007, 'humidity': 81}",10000,"{'speed': 4.6, 'deg': 190, 'gust': 7.7}",{'all': 75},1607812048,"{'type': 1, 'id': 4588, 'country': 'US', 'sunrise': 1607776595, 'sunset': 1607809530}",-18000,5122534,Jamestown,200,,
4,"{'lon': -156.79, 'lat': 71.29}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 255.15, 'feels_like': 242.46, 'temp_min': 255.15, 'temp_max': 255.15, 'pressure': 1038, 'humidity': 70}",10000,"{'speed': 12.9, 'deg': 60, 'gust': 18}",{'all': 1},1607812216,"{'type': 1, 'id': 7649, 'country': 'US', 'sunrise': 0, 'sunset': 0}",-32400,5880054,Barrow,200,,
5,"{'lon': -73.65, 'lat': -37.62}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 286.31, 'feels_like': 282.8, 'temp_min': 286.31, 'temp_max': 286.31, 'pressure': 1018, 'humidity': 89, 'sea_level': 1018, 'grnd_level': 1008}",10000,"{'speed': 5.64, 'deg': 194}",{'all': 88},1607812217,"{'country': 'CL', 'sunrise': 1607765219, 'sunset': 1607818223}",-10800,3883457,Lebu,200,,
6,"{'lon': 62.49, 'lat': 52.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 260.91, 'feels_like': 254.86, 'temp_min': 260.91, 'temp_max': 260.91, 'pressure': 1041, 'humidity': 93, 'sea_level': 1041, 'grnd_level': 1015}",10000,"{'speed': 3.98, 'deg': 240}",{'all': 6},1607812217,"{'country': 'KZ', 'sunrise': 1607831587, 'sunset': 1607859342}",21600,1521315,Līsakovsk,200,,
7,"{'lon': -105.2, 'lat': 20.7}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 299.26, 'feels_like': 302.62, 'temp_min': 299.26, 'temp_max': 299.26, 'pressure': 1009, 'humidity': 83}",10000,"{'speed': 2.68, 'deg': 238, 'gust': 5.81}",{'all': 93},1607812217,"{'type': 3, 'id': 2003590, 'country': 'MX', 'sunrise': 1607779690, 'sunset': 1607818900}",-21600,4004293,Ixtapa,200,,
8,"{'lon': -134.97, 'lat': -23.12}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 297.14, 'feels_like': 296.92, 'temp_min': 297.14, 'temp_max': 297.14, 'pressure': 1014, 'humidity': 80, 'sea_level': 1014, 'grnd_level': 1011}",10000,"{'speed': 5.81, 'deg': 290}",{'all': 100},1607812217,"{'country': 'PF', 'sunrise': 1607782080, 'sunset': 1607830805}",-32400,4030556,Rikitea,200,{'1h': 1.18},
9,"{'lon': -37.64, 'lat': 65.61}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 274.01, 'feels_like': 263.15, 'temp_min': 274.01, 'temp_max': 274.01, 'pressure': 1005, 'humidity': 88, 'sea_level': 1005, 'grnd_level': 994}",10000,"{'speed': 12.5, 'deg': 64}",{'all': 100},1607812218,"{'country': 'GL', 'sunrise': 1607776980, 'sunset': 1607789172}",-10800,3424607,Tasiilaq,200,,
10,"{'lon': -68.3, 'lat': -54.8}","[{'id': 300, 'main': 'Drizzle', 'description': 'light intensity drizzle', 'icon': '09d'}]",stations,"{'temp': 283.15, 'feels_like': 273.76, 'temp_min': 283.15, 'temp_max': 283.15, 'pressure': 979, 'humidity': 71}",10000,"{'speed': 11.8, 'deg': 230, 'gust': 17}",{'all': 75},1607812105,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1607759417, 'sunset': 1607821455}",-10800,3833367,Ushuaia,200,,
11,"{'lon': -77.59, 'lat': 17.89}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 297.33, 'feels_like': 299.13, 'temp_min': 297.33, 'temp_max': 297.33, 'pressure': 1013, 'humidity': 84, 'sea_level': 1013, 'grnd_level': 985}",10000,"{'speed': 3.63, 'deg': 88}",{'all': 48},1607812218,"{'country': 'JM', 'sunrise': 1607772739, 'sunset': 1607812595}",-18000,3491161,Bull Savanna,200,,
